"time_of_day","t_value","slope","slope_dir","r_sq","common_name"
"dawn",-0.301767163044131,-0.291404470388281,"-",-0.0531819791978463,"Asian Brown Flycatcher"
"dusk",0.828586288657995,2.48937277765316,"+",-0.0247068456625037,"Asian Brown Flycatcher"
"dawn",-1.66307477671388,-0.827206508302591,"-",0.023306258234184,"Little Spiderhunter"
"dawn",-0.795013546850767,-0.581870953220432,"-",-0.00789057070464838,"Indian Blackbird"
"dawn",2.3600392874178,0.913654713284032,"+",0.102531017217853,"Rufous Babbler"
"dusk",-0.446717481009345,-8.07903248488256,"-",-0.667282855730107,"Rufous Babbler"
"dawn",0.685897616768413,0.333070557035648,"+",-0.0134162236553241,"Malabar Woodshrike"
"dusk",-16.1858544216561,-3.55344151013195,"-",0.992394913389264,"Malabar Woodshrike"
"dawn",0.344382326571757,0.148245773979441,"+",-0.0199779872749821,"Black-rumped Flameback"
"dusk",-1.48702781492422,-1.34020438548631,"-",0.0747167302749214,"Black-rumped Flameback"
"dawn",0.527566414472409,0.297732523179255,"+",-0.0149481917312584,"House Crow"
"dusk",-0.821098976374453,-0.723774884596245,"-",-0.00606988924988472,"House Crow"
"dawn",0.408325848132605,0.456728416264616,"+",-0.0331099829737365,"Golden-fronted Leafbird"
"dusk",-3.12091206317219,-4.82460155947176,"-",0.55527579172756,"Golden-fronted Leafbird"
"dawn",-2.62459538483105,-1.28378969677863,"-",0.111338019230611,"Red Spurfowl"
"dusk",0.864244446276753,6.60015122876725,"+",-0.0921328901807816,"Red Spurfowl"
