"parameter1","parameter2","effectsize","estimate","conf.level","conf.low","conf.high","statistic","df.error","p.value","method","n.obs","conf.method","expression","common_name","time_of_day"
"time_from_startTime","detections","Pearson correlation","-0.0737127229040949","0.95","-0.258233905179959","0.115997359266553","-0.764570335448887","107","0.446210344735123","Pearson correlation","109","normal","list(italic(""t"")[""Student""] * ""("" * 107 * "")"" == ""-0.76"", italic(p) == ""0.45"", widehat(italic(""r""))[""Pearson""] == ""-0.07"", CI[""95%""] ~ ""["" * ""-0.26"", ""0.12"" * ""]"", italic(""n"")[""pairs""] == ""109"")","Mountain Imperial-Pigeon","dawn"
"time_from_startTime","detections","Pearson correlation","0.0192270655399255","0.95","-0.168621455289728","0.205727889817395","0.199850470154133","108","0.841973342643303","Pearson correlation","110","normal","list(italic(""t"")[""Student""] * ""("" * 108 * "")"" == ""0.20"", italic(p) == ""0.84"", widehat(italic(""r""))[""Pearson""] == ""0.02"", CI[""95%""] ~ ""["" * ""-0.17"", ""0.21"" * ""]"", italic(""n"")[""pairs""] == ""110"")","Mountain Imperial-Pigeon","dusk"
"time_from_startTime","detections","Pearson correlation","0.207131863166792","0.95","0.0426957738698106","0.360642091117174","2.48718801062531","138","0.0140674753757202","Pearson correlation","140","normal","list(italic(""t"")[""Student""] * ""("" * 138 * "")"" == ""2.49"", italic(p) == ""0.01"", widehat(italic(""r""))[""Pearson""] == ""0.21"", CI[""95%""] ~ ""["" * ""0.04"", ""0.36"" * ""]"", italic(""n"")[""pairs""] == ""140"")","Orange-headed Thrush","dawn"
"time_from_startTime","detections","Pearson correlation","0.0272779257606503","0.95","-0.18952646063321","0.241546072496962","0.245592719807294","81","0.806618733513115","Pearson correlation","83","normal","list(italic(""t"")[""Student""] * ""("" * 81 * "")"" == ""0.25"", italic(p) == ""0.81"", widehat(italic(""r""))[""Pearson""] == ""0.03"", CI[""95%""] ~ ""["" * ""-0.19"", ""0.24"" * ""]"", italic(""n"")[""pairs""] == ""83"")","Orange-headed Thrush","dusk"
"time_from_startTime","detections","Pearson correlation","-0.152109881146145","0.95","-0.557129296656285","0.311369754535295","-0.652945513014634","18","0.522044512727957","Pearson correlation","20","normal","list(italic(""t"")[""Student""] * ""("" * 18 * "")"" == ""-0.65"", italic(p) == ""0.52"", widehat(italic(""r""))[""Pearson""] == ""-0.15"", CI[""95%""] ~ ""["" * ""-0.56"", ""0.31"" * ""]"", italic(""n"")[""pairs""] == ""20"")","Speckled Piculet","dawn"
"time_from_startTime","detections","Pearson correlation","-0.142888368611761","0.95","-0.560707079291464","0.332928376934817","-0.595251827932679","17","0.559516428924207","Pearson correlation","19","normal","list(italic(""t"")[""Student""] * ""("" * 17 * "")"" == ""-0.60"", italic(p) == ""0.56"", widehat(italic(""r""))[""Pearson""] == ""-0.14"", CI[""95%""] ~ ""["" * ""-0.56"", ""0.33"" * ""]"", italic(""n"")[""pairs""] == ""19"")","Speckled Piculet","dusk"
"time_from_startTime","detections","Pearson correlation","0.249423996579002","0.95","-0.246104614847539","0.641582667092014","1.03025792975723","16","0.31821231445288","Pearson correlation","18","normal","list(italic(""t"")[""Student""] * ""("" * 16 * "")"" == ""1.03"", italic(p) == ""0.32"", widehat(italic(""r""))[""Pearson""] == ""0.25"", CI[""95%""] ~ ""["" * ""-0.25"", ""0.64"" * ""]"", italic(""n"")[""pairs""] == ""18"")","Brown-breasted Flycatcher","dawn"
"time_from_startTime","detections","Pearson correlation","0.46007082220733","0.95","0.0695892559375707","0.728301320801553","2.43041631403743","22","0.0236907838752602","Pearson correlation","24","normal","list(italic(""t"")[""Student""] * ""("" * 22 * "")"" == ""2.43"", italic(p) == ""0.02"", widehat(italic(""r""))[""Pearson""] == ""0.46"", CI[""95%""] ~ ""["" * ""0.07"", ""0.73"" * ""]"", italic(""n"")[""pairs""] == ""24"")","Brown-breasted Flycatcher","dusk"
"time_from_startTime","detections","Pearson correlation","0.166137792865158","0.95","-0.0570690279510513","0.373526765839624","1.47839919873507","77","0.143380146563896","Pearson correlation","79","normal","list(italic(""t"")[""Student""] * ""("" * 77 * "")"" == ""1.48"", italic(p) == ""0.14"", widehat(italic(""r""))[""Pearson""] == ""0.17"", CI[""95%""] ~ ""["" * ""-0.06"", ""0.37"" * ""]"", italic(""n"")[""pairs""] == ""79"")","Greater Coucal","dawn"
"time_from_startTime","detections","Pearson correlation","0.108187526904256","0.95","-0.559554334677034","0.690760782999218","0.30780720883016","8","0.76609038535238","Pearson correlation","10","normal","list(italic(""t"")[""Student""] * ""("" * 8 * "")"" == ""0.31"", italic(p) == ""0.77"", widehat(italic(""r""))[""Pearson""] == ""0.11"", CI[""95%""] ~ ""["" * ""-0.56"", ""0.69"" * ""]"", italic(""n"")[""pairs""] == ""10"")","Greater Coucal","dusk"
